instance, algorithm, value, runningTime, initialValue, steps, evaluatedSolutions
tai50b, greedy-2swap, 488245526, 11734, 807402045, 367, 80735 
tai50b, greedy-2swap, 486286593, 13472, 769109342, 331, 91109 
tai50b, greedy-2swap, 500467869, 11037, 819843640, 265, 75026 
tai50b, greedy-2swap, 486645510, 12571, 806856952, 435, 87396 
tai50b, greedy-2swap, 465077396, 10923, 772330688, 342, 75033 
tai50b, greedy-3swap, 507183374, 23073, 747952249, 372, 116833 
tai50b, greedy-3swap, 478764107, 38620, 812256668, 437, 222163 
tai50b, greedy-3swap, 481056602, 37415, 766141891, 384, 193942 
tai50b, greedy-3swap, 474277338, 31780, 805220101, 428, 160937 
tai50b, greedy-3swap, 488674844, 32038, 778938195, 384, 165106 
tai50b, greedy-3swap, 496436023, 19392, 805157406, 346, 94938 
tai50b, greedy-3swap, 481588735, 37736, 791456604, 435, 221549 
tai50b, greedy-3swap, 472847095, 20261, 769574956, 312, 99983 
tai50b, greedy-3swap, 481988266, 20317, 750550176, 290, 93944 
tai50b, greedy-3swap, 469250247, 20060, 744704494, 376, 95655 
tai50b, steepest-2swap, 466788973, 9588, 758430045, 53, 64925 
tai50b, steepest-2swap, 506684571, 11102, 760967011, 64, 78400 
tai50b, steepest-2swap, 485029074, 11325, 830146649, 65, 79625 
tai50b, steepest-2swap, 512386522, 9160, 806000012, 52, 63700 
tai50b, steepest-2swap, 509739792, 10138, 832757686, 58, 71050 
tai50b, steepest-2swap, 490696681, 10274, 795065298, 58, 71050 
tai50b, steepest-2swap, 532820019, 7183, 794416889, 41, 50225 
tai50b, steepest-2swap, 494669311, 9036, 753340516, 52, 63700 
